model,,experiments,,error,
X,Y,X,Y,X,Y
400.6952491309386,0.013056748384945749,400.6952491309386,0.026128643809782304,400.6952491309386,0.026128643809782304
425.7242178447277,0.012511454948915812,425.7242178447277,0.012511454948915812,426.4194669756663,0.02556820333386245
450.75318655851686,0.025038056937721542,450.75318655851686,0.025038056937721542,450.75318655851686,0.025038056937721542
475.0869061413673,0.011436015116744969,500.811123986095,0.14159452888919155,500.811123986095,0.1285226334643541
500.811123986095,0.010875574640825114,550.1738122827346,0.38888510212891614,551.5643105446118,0.37578291262429975
525.8400926998842,0.023402176629630844,575.8980301274623,0.5582593021758724,575.8980301274623,0.571331197600708
550.8690614136733,0.03592877861843835,630.8227114716108,0.7269973265474583,630.8227114716108,0.7269973265474583
575.8980301274623,0.08767106688175375,660.71842410197,1.1707904482766445,661.4136732329084,1.1707753012367554
600.2317497103129,0.20478797930914183,690.6141367323291,1.9021652693522357,690.6141367323291,1.980596641901255
625.2607184241019,0.4918243852195179,720.5098493626883,3.561644665591227,719.8146002317498,3.731594453153991
650.9849362688296,1.0664273434364082,765.7010428736965,4.161967297540877,765.0057937427579,4.358060875953316
675.3186558516802,2.085505040177523,800.4634994206258,4.35728837691894,800.4634994206258,4.579510599141162
700.3476245654693,3.6797309885715572,835.2259559675551,4.631040828846022,835.2259559675551,4.8663349464930805
725.3765932792585,4.711865433697619,875.5504055619931,4.682449882231763,874.8551564310545,4.917759146918712
749.710312862109,4.711335287301479,910.3128621089224,4.74705200736146,910.3128621089224,4.969274229583682
800.4634994206258,4.710229553389528,975.6662804171496,4.758700081036662,975.6662804171496,5.007066094108557
860.2549246813443,4.708926907959011,1000.6952491309387,4.784298578450304,1000.0000000000001,5.03267973856209
915.8748551564312,4.707715144767833,,,,
965.2375434530708,4.706639704935662,,,,
1001.3904982618773,4.692780163436559,,,,
